id,first_name,last_name,password,position,salary,role
1,liam,bernstein,12345678,teacher,10,teacher
4,ben,bernsdtein,12345678,teacher,10,teacher
11,aron,bernsdtein,12345678,teacher,10,teacher
12,chris,bernsdtein,12345678,teacher,10,teacher
13,ted,bernsdtein,12345678,teacher,10,teacher
18,Tom,Knecht,password,student,100,teacher
20,kayla,Knecht,password,student,100,teacher
24,alan,Knecht,password,student,100,teacher
7,seb,Knecht,password,student,100,teacher
10,amanda,Berg,password,admin,100,teacher
16,kim,Berg,password,teacher,100,admin
3,amira,bernsdtein,12345678,teacher,10,admin
